# Spatial-averaged data for fix 6b and group all
# Timestep Number-of-bins
# Bin Coord Ncount v_atemp
1000000 161
  73 1448.46 661.838 303.363
  74 1468.46 666.226 303.275
  75 1488.46 659.287 302.699
  76 1508.46 650.639 302.572
  77 1528.46 648.212 302.729
  78 1548.46 650.329 302
  79 1568.46 657.873 301.773
  80 1588.46 664.207 301.949
  81 1608.46 665.146 301.599
  82 1628.46 655.377 301.396
  83 1648.46 648.942 301.745
  84 1668.46 648.203 301.62
  85 1688.46 651.707 300.565
  86 1708.46 661.187 300.996
  87 1728.46 665.675 300.524
  88 1748.46 662.391 300.248
  89 1768.46 652.288 300.462
  90 1788.46 648.571 300.014
  91 1808.46 648.507 299.566
  92 1828.46 654.469 298.923
  93 1848.46 664.865 298.56
  94 1868.46 665.413 299.084
  95 1888.46 657.641 298.209
  96 1908.46 650.792 298.137
  97 1928.46 648.341 297.884
  98 1948.46 649.688 297.887
  99 1968.46 657.316 298.112
  100 1988.46 667.414 297.402
  101 2008.46 664.204 297.201
  102 2028.46 654.388 296.864
  103 2048.46 648.937 296.469
  104 2068.46 648.263 295.457
  105 2088.46 651.194 295.613
  106 2108.46 660.076 295.46
  107 2128.46 668.573 294.581
  108 2148.46 661.781 294.001
  109 2168.46 651.539 293.524
  110 2188.46 648.584 293.357
  111 2208.46 648.723 293.054
  112 2228.46 653.909 291.997
  113 2248.46 664.315 291.957
  114 2268.46 666.853 292.156
  115 2288.46 657.676 291.489
  116 2308.46 650.271 290.351
  117 2328.46 648.486 289.739
  118 2348.46 649.995 287.778
  119 2368.46 656.53 286.161
  120 2388.46 667.297 282.798
  121 2408.46 663.419 277.609
  122 2428.46 654.675 284.152
  123 2448.46 649.751 285.845
  124 2468.46 648.81 287.877
  125 2488.46 650.67 288.612
  126 2508.46 659.388 290.13
  127 2528.46 668.709 290.989
  128 2548.46 660.88 291.737
  129 2568.46 652.454 292.158
  130 2588.46 649.231 292.457
  131 2608.46 649.15 293.141
  132 2628.46 653.344 292.953
  133 2648.46 661.526 293.88
  134 2668.46 667.356 294.525
  135 2688.46 658.475 295.877
  136 2708.46 651.399 295.865
  137 2728.46 649.025 296.853
  138 2748.46 650.136 297.478
  139 2768.46 655.782 297.925
  140 2788.46 664.244 298.211
  141 2808.46 665.124 298.261
  142 2828.46 656.11 298.237
  143 2848.46 650.106 298.846
  144 2868.46 648.601 298.973
  145 2888.46 651.067 298.867
  146 2908.46 658.519 299.456
  147 2928.46 666.605 299.131
  148 2948.46 662.202 299.363
  149 2968.46 654.091 300.035
  150 2988.46 649.197 300.584
  151 3008.46 648.775 300.834
  152 3028.46 652.377 300.841
  153 3048.46 662.055 300.906
  154 3068.46 667.231 301.404
  155 3088.46 659.599 301.968
  156 3108.46 651.564 301.962
  157 3128.46 648.423 302.421
  158 3148.46 649.673 302.923
  159 3168.46 655.338 302.66
  160 3188.46 664.774 302.724
  161 3208.46 322.137 302.216
4000000 161
  1 8.45849 667.941 302.161
  2 28.4585 654.737 302.403
  3 48.4585 648.576 302.782
  4 68.4585 648.109 302.695
  5 88.4585 649.552 302.879
  6 108.458 657.094 303.473
  7 128.458 672.055 305.141
  8 148.458 664.003 304.881
  9 168.458 651.021 304.665
  10 188.458 648.175 305.062
  11 208.458 648.142 304.776
  12 228.458 651.016 304.679
  13 248.458 663.495 305.525
  14 268.458 671.414 305.764
  15 288.458 658.578 305.612
  16 308.458 649.304 305.943
  17 328.458 648.06 306.062
  18 348.458 648.74 306.034
  19 368.458 654.869 305.732
  20 388.458 667.253 306.658
  21 408.458 666.75 307.722
  22 428.458 655.33 307.145
  23 448.458 649.023 307.976
  24 468.458 648.202 308.763
  25 488.458 650.209 309.563
  26 508.458 658.155 310.039
  27 528.458 668.187 310.839
  28 548.458 663.516 310.463
  29 568.458 653.066 310.952
  30 588.458 648.729 311.741
  31 608.458 648.83 312.481
  32 628.458 652.565 313.187
  33 648.458 661.82 313.709
  34 668.458 667.539 314.281
  35 688.458 660.496 314.619
  36 708.458 650.563 315.149
  37 728.458 648.33 315.699
  38 748.458 649.821 317.756
  39 768.458 655.312 318.823
  40 788.458 664.802 322.678
  41 808.458 664.395 328.064
  42 828.458 657.804 321.098
  43 848.458 649.661 317.929
  44 868.458 648.192 316.463
  45 888.458 650.788 315.595
  46 908.458 658.773 314.81
  47 928.458 667.306 314.009
  48 948.458 662.706 313.04
  49 968.458 653.373 312.46
  50 988.458 648.837 312.392
  51 1008.46 648.493 311.779
  52 1028.46 653.11 311.458
  53 1048.46 663.801 310.739
  54 1068.46 667.132 309.905
  55 1088.46 658.297 309.254
  56 1108.46 650.808 308.304
  57 1128.46 648.46 307.319
  58 1148.46 649.585 308.044
  59 1168.46 657.07 309.049
  60 1188.46 665.582 307.636
  61 1208.46 664.219 306.961
  62 1228.46 655.703 306.517
  63 1248.46 649.6 306.303
  64 1268.46 648.299 305.79
  65 1288.46 651.132 306.792
  66 1308.46 659.624 306.635
  67 1328.46 666.378 305.673
  68 1348.46 662.978 305.164
  69 1368.46 653.131 305.539
  70 1388.46 648.673 305.431
  71 1408.46 648.929 305.068
  72 1428.46 653.942 303.84
  73 1448.46 662.928 304.194
  74 1468.46 666.225 304.037
  75 1488.46 659.272 303.648
  76 1508.46 650.589 303.171
  77 1528.46 648.262 302.307
  78 1548.46 649.637 302.86
  79 1568.46 656.781 303.201
  80 1588.46 666.794 303.536
  81 1608.46 665.874 302.701
  82 1628.46 654.231 302.742
  83 1648.46 648.506 301.858
  84 1668.46 648.081 301.603
  85 1688.46 650.143 300.897
  86 1708.46 660.098 300.962
  87 1728.46 671.264 301.342
  88 1748.46 661.993 301.132
  89 1768.46 650.332 300.63
  90 1788.46 648.095 300.27
  91 1808.46 648.296 300.174
  92 1828.46 651.965 300.168
  93 1848.46 665.585 299.669
  94 1868.46 670.41 299.395
  95 1888.46 656.405 299.211
  96 1908.46 649.274 298.349
  97 1928.46 648.079 298.033
  98 1948.46 648.997 297.88
  99 1968.46 656.218 297.953
